time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,lat,lon,alt,dt,step_dist,v_gps,ax_w,ay_w,az_w,acc_mag,v_imu,fused_speed,delta_alt,fused_vz
14122543,82.12911987304688,0.00224412616807965,-0.41178023815155024,0.020834424532949848,-0.12808663398027414,0.004251343198120551,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-32.63936921026086,1.4094462229786828,65.54281639078097,73.23370632116621,14.893505230941875,0.272082499063269,0.0,1.53163193587803
14142543,82.34667205810547,-0.0005825188200105582,-0.43135063350200653,0.01580755226314065,-0.1223133765161037,0.0037849217187612997,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-32.89368622661348,1.4150572554346141,65.66955671665315,73.46078994928372,15.54942263011403,0.2849714280563794,0.0,1.5968769988644302
14162543,82.5621109008789,-0.0012259992945473,-0.4573114365339279,0.0127146346494555,-0.11551251262426375,0.0032310500973834998,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-33.13183763361465,1.4220106548520994,65.80065078664099,73.6849131317137,16.210266500190574,0.2979753819807106,0.0,1.6623080766328893
14182543,82.7762451171875,-0.00337229261640455,-0.47706203162670135,0.0143624003976583,-0.10753229260444636,0.0028141317889093503,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-33.36381202367902,1.4268056612553608,65.93268696124207,73.9073672719812,16.875813195884973,0.3110872041971467,0.0,1.7279020411269497
14202543,82.88280868530273,-0.0038327721413224498,-0.49353545904159546,0.017331759445369202,-0.0990754403173923,0.0021586535731330002,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-33.54254421441585,1.4304450111996259,65.97030827462939,74.02182123641475,17.54546753047703,0.32429790035043393,0.0,1.7936284762137151
14222543,82.8598518371582,0.00471147638745605,-0.5129884481430054,0.020093924365937647,-0.0899610295891761,0.0018466873443685,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-33.65170889007884,1.4405025308186232,65.89670820381667,74.0060045595144,18.218005483216302,0.33759590135953166,0.0,1.859447069221008
14242543,82.83053588867188,0.00248271902091795,-0.5361755192279816,0.021597564220428453,-0.08047456666827195,0.0016749267233535001,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-33.74031059182178,1.439573242171223,65.82533721749176,73.9828084743252,18.892524448281737,0.35096830863220246,0.0,1.9253166294596884
14262543,82.80149841308594,-0.0015531753888353,-0.5522918403148651,0.018998235464096,-0.0707684196531772,0.0014328181277960001,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-33.82063965567088,1.4364744527373061,65.75781088909089,73.95937275624736,19.568729810359333,0.36440216187287755,0.0,1.9911974837586974
14282543,82.75765228271484,-0.00070826718001625,-0.5694926083087921,0.015078257303684901,-0.060881692916154806,0.0013371544191613498,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-33.87878713763326,1.437969929650549,65.68379681963052,73.92023498392135,20.246318554299947,0.3778841833065374,0.0,2.0570491650537903
14302543,82.56196975708008,0.0030069367494433997,-0.5910861790180206,0.013094920199364351,-0.05197091028094285,0.00113479996798555,-35.1487961,148.2569567,774.02,0.02,0.0,0.0,-33.85612653051696,1.4395582151454656,65.47956508425678,73.72844142614562,20.92426425214657,0.3913993701932156,0.0,2.122826883015685
